event-id,visible,timestamp,location-long,location-lat,argos:lc,lat-upper,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
16029333498,true,2016-06-30 10:09:00.000,-20.57,74.469,"A",74.469,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512851.72158287297,8264409.024744079,"27N"
16029333500,true,2016-06-30 10:28:00.000,-20.581,74.473,"3",74.473,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512519.817281671,8264852.941459919,"27N"
16029333501,true,2016-06-30 11:52:00.000,-20.574,74.472,"3",74.472,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512729.7748752265,8264742.861712498,"27N"
16029333502,true,2016-06-30 12:07:00.000,-20.571,74.468,"3",74.468,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512822.63919266826,8264297.243135076,"27N"
16029333503,true,2016-06-30 12:56:00.000,-20.572,74.47,"2",74.47,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512791.1441049674,8264520.159286797,"27N"
16029333504,true,2016-06-30 13:39:00.000,-20.572,74.47,"3",74.47,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512791.1441049674,8264520.159286797,"27N"
16029333508,true,2016-07-01 15:03:00.000,-20.586,74.467,"3",74.467,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512375.07867963926,8264182.499385226,"27N"
16029333510,true,2016-07-01 16:39:00.000,-20.579,74.472,"3",74.472,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",512580.36668910866,8264741.7976560015,"27N"
16029333513,true,2016-07-02 14:48:00.000,-20.61,74.465,"2",74.465,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",511659.1559530754,8263954.5174306445,"27N"
16029333517,true,2016-07-02 15:54:00.000,-20.626,74.465,"3",74.465,"argos-doppler-shift","Vulpes lagopus","161476","161476","Arctic fox (Vulpes lagopus) - Argos - Greenland (Zackenberg)",511180.8375495225,8263951.4448654,"27N"
