event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
27220837455,true,2002-03-30 00:00:00.000,15.769,2.476,"1","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",585493.6669580328,273698.89101537067,"33N"
27220837456,true,2002-03-31 00:00:00.000,15.74,2.502,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582267.7930331328,276571.1326878779,"33N"
27220837457,true,2002-03-31 00:00:00.000,15.744,2.506,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582712.2579454434,277013.55016111926,"33N"
27220837458,true,2002-03-31 00:00:00.000,15.747,2.507,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",583045.730998051,277124.2815154441,"33N"
27220837459,true,2002-04-01 00:00:00.000,15.771,2.479,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",585715.8377275807,274030.6465969933,"33N"
27220837460,true,2002-04-01 00:00:00.000,15.77,2.485,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",585604.270096535,274693.8347597624,"33N"
27220837461,true,2002-04-02 00:00:00.000,15.849,2.493,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",594387.091486514,275583.57013073267,"33N"
27220837462,true,2002-04-02 00:00:00.000,15.795,2.514,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",588381.8656401921,277901.22279911453,"33N"
27220837463,true,2002-04-02 00:00:00.000,15.766,2.51,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",585157.935873308,277457.1278137937,"33N"
27220837464,true,2002-04-03 00:00:00.000,15.761,2.518,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",584601.526544091,278341.1390649971,"33N"
27220837465,true,2002-04-03 00:00:00.000,15.74,2.508,"1","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582267.4186151354,277234.3811629383,"33N"
27220837466,true,2002-04-04 00:00:00.000,15.735,2.574,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",581707.3774786729,284529.79703233985,"33N"
27220837467,true,2002-04-04 00:00:00.000,15.774,2.602,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",586041.2406584603,287627.54913139425,"33N"
27220837468,true,2002-04-05 00:00:00.000,15.729,2.62,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",581037.4105916212,289614.3138940304,"33N"
27220837469,true,2002-04-06 00:00:00.000,15.725,2.589,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",580594.7075207067,286187.2784406974,"33N"
27220837470,true,2002-04-07 00:00:00.000,15.729,2.592,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",581039.2012530299,286519.1571816704,"33N"
27220837471,true,2002-04-07 00:00:00.000,15.718,2.568,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",579817.819459022,283865.4748659246,"33N"
27220837472,true,2002-04-07 00:00:00.000,15.744,2.596,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582706.5076823835,286962.2932773339,"33N"
27220837473,true,2002-04-08 00:00:00.000,15.785,2.57,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",587266.3119870392,284090.9378143178,"33N"
27220837474,true,2002-04-08 00:00:00.000,15.732,2.596,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",581372.4583844019,286961.51494769525,"33N"
27220837475,true,2002-04-08 00:00:00.000,15.74,2.6,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582261.5653085945,287404.1987078822,"33N"
27220837476,true,2002-04-09 00:00:00.000,15.757,2.599,"1","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",584151.5332839001,287294.77675005846,"33N"
27220837477,true,2002-04-10 00:00:00.000,15.721,2.606,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",580148.9517176047,288066.22366632504,"33N"
27220837478,true,2002-04-10 00:00:00.000,15.749,2.613,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",583261.2462467977,288841.8320458623,"33N"
27220837479,true,2002-04-10 00:00:00.000,15.75,2.609,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",583372.6795053923,288399.73097146855,"33N"
27220837480,true,2002-04-10 00:00:00.000,15.731,2.607,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",581260.5835846008,288177.40553741704,"33N"
27220837481,true,2002-04-11 00:00:00.000,15.712,2.588,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",579149.5478133427,286075.9188757895,"33N"
27220837482,true,2002-04-11 00:00:00.000,15.764,2.603,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",584929.4632969435,287737.4138996035,"33N"
27220837483,true,2002-04-12 00:00:00.000,15.558,2.6,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",562028.9208950808,287393.80199484865,"33N"
27220837484,true,2002-04-13 00:00:00.000,15.746,2.68,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582923.2848337959,296247.93461601407,"33N"
27220837485,true,2002-04-14 00:00:00.000,15.761,2.69,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",584590.0525938834,297354.38256472594,"33N"
27220837486,true,2002-04-14 00:00:00.000,15.752,2.688,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",583589.7228289724,297132.67851113906,"33N"
27220837487,true,2002-04-14 00:00:00.000,15.746,2.683,"B","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118",582923.0828177348,296579.5602167802,"33N"
